Epoch,Training Loss,Validation Loss,Validation Accuracy
1,0.5760,0.5970,0.8672
2,0.5047,0.4948,0.8750
3,0.5095,0.3559,0.8984
4,0.4992,0.3655,0.8906
5,0.4921,0.5113,0.8594
6,0.5074,0.3082,0.9219
7,0.5111,0.5844,0.8438
8,0.4930,0.3724,0.8906
9,0.4953,0.3908,0.8672
10,0.5091,0.3979,0.8906
11,0.5004,0.3813,0.8828
12,0.4936,0.3967,0.8906
13,0.4979,0.3765,0.8906
14,0.5097,0.3845,0.8750
15,0.4992,0.3966,0.8906
16,0.4968,0.4858,0.8516
17,0.5022,0.3370,0.8906
18,0.5061,0.3732,0.8828
19,0.4949,0.4530,0.8516
20,0.4967,0.3524,0.9062
21,0.5038,0.4559,0.8594
22,0.5040,0.4522,0.8438
23,0.4993,0.3599,0.9062
24,0.4989,0.3557,0.9062
25,0.5068,0.3727,0.8672
26,0.5031,0.3488,0.8906
27,0.4933,0.5007,0.8594
28,0.5014,0.3822,0.8672
29,0.5095,0.8555,0.7891
30,0.4958,0.4785,0.8281
31,0.4929,0.3663,0.8906
32,0.5039,0.4619,0.8438
33,0.4977,0.6233,0.8516
34,0.4956,0.4600,0.8516
35,0.5032,0.2918,0.9062
36,0.4946,0.4183,0.8750
37,0.5054,0.3862,0.8672
38,0.4934,0.4076,0.8672
39,0.4964,0.4144,0.8750
40,0.5069,0.3896,0.8594
41,0.5055,0.4170,0.8750
42,0.4998,0.4116,0.8828
43,0.5030,0.3399,0.9062
44,0.5020,0.4145,0.8594
45,0.5008,0.3718,0.8750
46,0.4962,0.3579,0.8906
47,0.5046,0.3476,0.9062
48,0.5005,0.3593,0.8984
49,0.4993,0.3525,0.9062
50,0.5019,0.4206,0.8672
51,0.5023,0.3464,0.8828
52,0.4968,0.3820,0.8906
53,0.5035,0.3925,0.8672
54,0.5041,0.3507,0.8906
55,0.4969,0.3667,0.8672
56,0.5021,0.3920,0.8594
57,0.4974,0.3472,0.8984
58,0.5010,0.3789,0.8750
59,0.4961,0.3980,0.8672
60,0.4996,0.4188,0.8516
61,0.5027,0.3923,0.8828
62,0.5000,0.3504,0.8906
63,0.5036,0.3620,0.8750
64,0.5004,0.3714,0.8750
65,0.5012,0.4002,0.8594
66,0.4990,0.3925,0.8750
67,0.4971,0.3611,0.8984
68,0.5034,0.3670,0.8750
69,0.5026,0.3833,0.8672
70,0.5017,0.3977,0.8672
71,0.4965,0.3634,0.8906
72,0.5018,0.3606,0.8828
73,0.5022,0.3702,0.8750
74,0.5009,0.3845,0.8750
75,0.5033,0.3565,0.8828
76,0.4995,0.3717,0.8750
77,0.5011,0.3628,0.8906
78,0.4997,0.3701,0.8906
79,0.4976,0.3625,0.8984
80,0.5014,0.3644,0.8750
81,0.5038,0.3669,0.8828
82,0.4978,0.3608,0.8906
83,0.5006,0.3749,0.8750
84,0.5015,0.3602,0.8984
85,0.5002,0.3647,0.8828
86,0.4981,0.3511,0.8906
87,0.5003,0.3745,0.8828
88,0.5039,0.3619,0.8828
89,0.4994,0.3601,0.8906
90,0.4987,0.3740,0.8750
91,0.5024,0.3668,0.8828
92,0.4970,0.3703,0.8906
93,0.5001,0.3659,0.8828
94,0.5037,0.3707,0.8828
95,0.4985,0.3624,0.8906
96,0.5007,0.3652,0.8828
97,0.5031,0.3721,0.8750
98,0.5005,0.3716,0.8750
99,0.5030,0.3633,0.8906
100,0.5008,0.3742,0.8828
